Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,2.88,12.71,0.23,3.07,8.07
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,4.35,14.75,0.27,2.53,9.91
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Br)cc2)cc1,2.81,12.74,0.31,1.88,7.42
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,3.23,15.26,0.29,2.59,4.76
O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccccc1,2.39,15.77,0.33,2.49,7.72
O=C1CSC(N/N=C/c2cc(Cl)ccc2O)=N1,1.6,21.32,0.46,4.15,7.76
Cc1ccc(/C=N/NC2=NC(=O)CS2)cc1,1.55,22.44,0.45,3.68,9.73
COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccccc3)C2)cc1,3.48,15.32,0.29,1.91,9.92
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,4.68,12.51,0.24,0.04,7.31
CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,5.34,14.82,0.28,1.89,8.12
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,4.78,16.72,0.32,2.44,9.92
Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cccnc3)cc2Cl)c1,5.39,15.91,0.3,1.46,11.44
CS(=O)(=O)CCC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,5.36,12.94,0.26,2.13,6.8
CS(=O)(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,5.36,14.05,0.28,1.99,7.88
C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,4.57,15.32,0.3,0.85,11.52
Fc1cccc(COc2ccc(Nc3ccncn3)cc2Cl)c1,4.59,14.19,0.28,0.09,9.94
Fc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,5.29,21.7,0.42,2.41,12.25
